fecha_venta,var1(t-4 day),var1(t-3 day),var1(t-2 day),var1(t-1 day),var1(t-2 week),var1(t-1 week),var1(t),articulo
2021-05-16,66.0,102.29999947547913,297.0,516.450008392334,240.89999842643738,425.6999979019165,150.1500062942505,5404
2021-05-17,102.29999947547913,297.0,516.450008392334,150.1500062942505,513.809995174408,278.84999895095825,135.29999947547913,5404
2021-05-18,297.0,516.450008392334,150.1500062942505,135.29999947547913,115.5,55.77000188827515,94.0500020980835,5404
2021-05-20,516.450008392334,150.1500062942505,135.29999947547913,94.0500020980835,198.0,66.0,33.0,5404
2021-05-21,150.1500062942505,135.29999947547913,94.0500020980835,33.0,29.700000524520874,102.29999947547913,256.5749979019165,5404
2021-05-22,135.29999947547913,94.0500020980835,33.0,256.5749979019165,118.8000020980835,297.0,590.7000005245209,5404
2021-05-23,94.0500020980835,33.0,256.5749979019165,590.7000005245209,229.34999895095825,516.450008392334,465.3000020980835,5404
2021-05-24,33.0,256.5749979019165,590.7000005245209,465.3000020980835,425.6999979019165,150.1500062942505,66.0,5404
2021-05-25,256.5749979019165,590.7000005245209,465.3000020980835,66.0,278.84999895095825,135.29999947547913,125.40000104904175,5404
2021-05-26,590.7000005245209,465.3000020980835,66.0,125.40000104904175,55.77000188827515,94.0500020980835,148.5,5404
2021-05-27,465.3000020980835,66.0,125.40000104904175,148.5,66.0,33.0,33.0,5404
2021-05-28,66.0,125.40000104904175,148.5,33.0,102.29999947547913,256.5749979019165,29.700000524520874,5404
2021-05-29,125.40000104904175,148.5,33.0,29.700000524520874,297.0,590.7000005245209,460.34999895095825,5404
2021-05-30,148.5,33.0,29.700000524520874,460.34999895095825,516.450008392334,465.3000020980835,105.59999895095825,5404
2021-06-01,33.0,29.700000524520874,460.34999895095825,105.59999895095825,150.1500062942505,66.0,165.0,5404
2021-06-02,29.700000524520874,460.34999895095825,105.59999895095825,165.0,135.29999947547913,125.40000104904175,105.27000188827515,5404
2021-06-05,460.34999895095825,105.59999895095825,165.0,105.27000188827515,94.0500020980835,148.5,480.1500062942505,5404
2021-06-06,105.59999895095825,165.0,105.27000188827515,480.1500062942505,33.0,33.0,254.09999895095825,5404
2021-06-07,165.0,105.27000188827515,480.1500062942505,254.09999895095825,256.5749979019165,29.700000524520874,80.84999895095825,5404
2021-06-08,105.27000188827515,480.1500062942505,254.09999895095825,80.84999895095825,590.7000005245209,460.34999895095825,178.19999527931213,5404
2021-06-09,480.1500062942505,254.09999895095825,80.84999895095825,178.19999527931213,465.3000020980835,105.59999895095825,33.0,5404
2021-06-10,254.09999895095825,80.84999895095825,178.19999527931213,33.0,66.0,165.0,151.79999947547913,5404
2021-06-11,80.84999895095825,178.19999527931213,33.0,151.79999947547913,125.40000104904175,105.27000188827515,127.0500020980835,5404
2021-06-12,178.19999527931213,33.0,151.79999947547913,127.0500020980835,148.5,480.1500062942505,359.70000314712524,5404
