fecha_venta,familia,articulo,cantidad,media_cantidad,std_cantidad,zscore_cantidad
2022-01-23,BOLLERIA,3880,351.0,150.66176470588235,57.766105347358554,3.468093167947637
2022-10-02,BOLLERIA,3880,342.0,150.66176470588235,57.766105347358554,3.312292461878199
2022-10-16,BOLLERIA,3880,333.0,150.66176470588235,57.766105347358554,3.156491755808761
2022-10-23,BOLLERIA,3880,324.0,150.66176470588235,57.766105347358554,3.000691049739323
2022-11-06,BOLLERIA,3880,354.0,150.66176470588235,57.766105347358554,3.5200267366374494
2022-11-13,BOLLERIA,3880,324.0,150.66176470588235,57.766105347358554,3.000691049739323
2022-11-20,BOLLERIA,3880,342.0,150.66176470588235,57.766105347358554,3.312292461878199
2023-01-15,BOLLERIA,3880,324.0,150.66176470588235,57.766105347358554,3.000691049739323
2023-01-22,BOLLERIA,3880,435.0,150.66176470588235,57.766105347358554,4.922233091262392
2023-01-29,BOLLERIA,3880,435.0,150.66176470588235,57.766105347358554,4.922233091262392
2023-02-05,BOLLERIA,3880,354.0,150.66176470588235,57.766105347358554,3.5200267366374494
2023-02-19,BOLLERIA,3880,360.0,150.66176470588235,57.766105347358554,3.623893874017075
2023-02-26,BOLLERIA,3880,351.0,150.66176470588235,57.766105347358554,3.468093167947637
2023-02-28,BOLLERIA,3880,372.0,150.66176470588235,57.766105347358554,3.8316281487763253
2023-03-19,BOLLERIA,3880,369.0,150.66176470588235,57.766105347358554,3.7796945800865127
2021-05-23,BOLLERIA,3960,453.0,244.16711229946523,68.86251276230907,3.032606266073354
2021-07-11,BOLLERIA,3960,459.0,244.16711229946523,68.86251276230907,3.1197364005880504
2022-05-01,BOLLERIA,3960,465.0,244.16711229946523,68.86251276230907,3.2068665351027468
2022-10-02,BOLLERIA,3960,546.0,244.16711229946523,68.86251276230907,4.383123351051151
2022-10-09,BOLLERIA,3960,492.0,244.16711229946523,68.86251276230907,3.5989521404188816
2023-01-22,BOLLERIA,3960,456.0,244.16711229946523,68.86251276230907,3.076171333330702
2023-01-29,BOLLERIA,3960,534.0,244.16711229946523,68.86251276230907,4.208863082021758
2023-02-26,BOLLERIA,3960,507.0,244.16711229946523,68.86251276230907,3.8167774767056235
2023-02-28,BOLLERIA,3960,486.0,244.16711229946523,68.86251276230907,3.511822005904185
