familia,articulo,fecha_venta,festivo,precio,cantidad,importe,orden_articulo_familia
PANADERIA,417,2021-05-01,,4.038000106811523,72.0,290.7360038757324,5
PANADERIA,417,2021-05-02,Día de la Madre,4.038000106811523,81.0,327.07799530029297,5
PANADERIA,417,2021-05-03,Día de la Cruz,4.038000106811523,90.0,363.4199981689453,5
PANADERIA,417,2021-05-04,,4.038000106811523,84.0,339.19200134277344,5
PANADERIA,417,2021-05-05,,4.038000106811523,84.0,339.19200325012207,5
PANADERIA,417,2021-05-06,,4.038000106811523,87.0,351.30600357055664,5
PANADERIA,417,2021-05-07,,4.038000106811523,81.0,327.07799911499023,5
PANADERIA,417,2021-05-08,,4.038000106811523,78.0,314.9640007019043,5
PANADERIA,417,2021-05-09,,4.038000106811523,102.0,411.87599754333496,5
PANADERIA,417,2021-05-10,,4.038000106811523,93.0,375.53400230407715,5
PANADERIA,417,2021-05-11,,4.038000106811523,78.0,314.96400260925293,5
PANADERIA,417,2021-05-12,,4.038000106811523,87.0,351.30599784851074,5
PANADERIA,417,2021-05-13,,4.038000106811523,87.0,351.306001663208,5
PANADERIA,417,2021-05-14,,4.038000106811523,69.0,278.6219959259033,5
PANADERIA,417,2021-05-15,,4.038000106811523,87.0,351.30599784851074,5
PANADERIA,417,2021-05-16,,4.038000106811523,72.0,290.7360019683838,5
PANADERIA,417,2021-05-17,,4.038000106811523,81.0,327.07800483703613,5
PANADERIA,417,2021-05-18,,4.038000106811523,84.0,339.1919994354248,5
PANADERIA,417,2021-05-19,,4.038000106811523,78.0,314.9640064239502,5
PANADERIA,417,2021-05-20,,4.038000106811523,84.0,339.1919994354248,5
PANADERIA,417,2021-05-21,,4.038000106811523,75.0,302.8500061035156,5
PANADERIA,417,2021-05-22,,4.038000106811523,87.0,351.30600357055664,5
PANADERIA,417,2021-05-23,,4.038000106811523,96.0,387.64799880981445,5
PANADERIA,417,2021-05-24,,4.038000106811523,90.0,363.4199981689453,5
PANADERIA,417,2021-05-25,,4.038000106811523,111.0,448.21799659729004,5
PANADERIA,417,2021-05-26,,4.038000106811523,102.0,411.8760013580322,5
PANADERIA,417,2021-05-27,,4.038000106811523,78.0,314.9640007019043,5
PANADERIA,417,2021-05-28,,4.038000106811523,87.0,351.3059997558594,5
PANADERIA,417,2021-05-29,,4.038000106811523,87.0,351.30599784851074,5
PANADERIA,417,2021-05-30,,4.038000106811523,75.0,302.850004196167,5
PANADERIA,417,2021-05-31,,4.038000106811523,81.0,327.0780029296875,5
PANADERIA,417,2021-06-01,,4.038000106811523,87.0,351.30600357055664,5
PANADERIA,417,2021-06-02,,4.038000106811523,78.0,314.96400260925293,5
PANADERIA,417,2021-06-03,,4.038000106811523,72.0,290.7360038757324,5
PANADERIA,417,2021-06-04,,4.038000106811523,99.0,399.7619972229004,5
PANADERIA,417,2021-06-05,,4.038000106811523,90.0,363.4200019836426,5
PANADERIA,417,2021-06-06,,4.038000106811523,84.0,339.19200325012207,5
PANADERIA,417,2021-06-07,,4.038000106811523,93.0,375.5339984893799,5
PANADERIA,417,2021-06-08,,4.038000106811523,84.0,339.1919994354248,5
PANADERIA,417,2021-06-09,,4.038000106811523,81.0,327.07800102233887,5
PANADERIA,417,2021-06-10,,4.038000106811523,87.0,351.306001663208,5
PANADERIA,417,2021-06-11,,4.038000106811523,63.0,254.3940029144287,5
PANADERIA,417,2021-06-12,,4.038000106811523,87.0,351.3059997558594,5
PANADERIA,417,2021-06-13,,4.038000106811523,72.0,290.7359962463379,5
PANADERIA,417,2021-06-14,,4.038000106811523,84.0,339.1920051574707,5
PANADERIA,417,2021-06-15,,4.038000106811523,93.0,375.5340003967285,5
PANADERIA,417,2021-06-16,,4.038000106811523,90.0,363.4200019836426,5
PANADERIA,417,2021-06-17,,4.038000106811523,69.0,278.62200355529785,5
PANADERIA,417,2021-06-18,,4.038000106811523,90.0,363.4200019836426,5
PANADERIA,417,2021-06-19,,4.038000106811523,84.0,339.1920051574707,5
PANADERIA,417,2021-06-20,,4.038000106811523,63.0,254.3939971923828,5
PANADERIA,417,2021-06-21,,4.038000106811523,78.0,314.9640007019043,5
PANADERIA,417,2021-06-22,,4.038000106811523,66.0,266.5080051422119,5
PANADERIA,417,2021-06-23,,4.038000106811523,81.0,327.07800483703613,5
PANADERIA,417,2021-06-24,Día de San Juan,4.038000106811523,87.0,351.3060073852539,5
PANADERIA,417,2021-06-25,,4.038000106811523,90.0,363.42000007629395,5
PANADERIA,417,2021-06-26,,4.038000106811523,87.0,351.306001663208,5
PANADERIA,417,2021-06-27,,4.038000106811523,51.0,205.93800354003906,5
PANADERIA,417,2021-06-28,,4.038000106811523,87.0,351.30599784851074,5
PANADERIA,417,2021-06-29,,4.038000106811523,72.0,290.7360019683838,5
PANADERIA,417,2021-06-30,,4.038000106811523,54.0,218.05200004577637,5
PANADERIA,417,2021-07-01,,4.038000106811523,87.0,351.306001663208,5
PANADERIA,417,2021-07-02,,4.038000106811523,75.0,302.850004196167,5
PANADERIA,417,2021-07-03,,4.038000106811523,90.0,363.4199981689453,5
PANADERIA,417,2021-07-04,,4.038000106811523,78.0,314.96399688720703,5
PANADERIA,417,2021-07-05,,4.038000106811523,96.0,387.6480007171631,5
PANADERIA,417,2021-07-06,,4.038000106811523,48.0,193.82399940490723,5
PANADERIA,417,2021-07-07,,4.038000106811523,51.0,205.9379997253418,5
PANADERIA,417,2021-07-08,,4.038000106811523,60.0,242.27999877929688,5
PANADERIA,417,2021-07-09,,4.038000106811523,84.0,339.19200325012207,5
PANADERIA,417,2021-07-10,,4.038000106811523,78.0,314.9640007019043,5
PANADERIA,417,2021-07-11,,4.038000106811523,81.0,327.07800102233887,5
PANADERIA,417,2021-07-12,,4.038000106811523,99.0,399.76199531555176,5
PANADERIA,417,2021-07-13,,4.038000106811523,78.0,314.96400260925293,5
PANADERIA,417,2021-07-14,,4.038000106811523,66.0,266.5080032348633,5
PANADERIA,417,2021-07-15,,4.038000106811523,66.0,266.50800132751465,5
PANADERIA,417,2021-07-16,Día de la Virgen del Carmen,4.038000106811523,90.0,363.4200019836426,5
PANADERIA,417,2021-07-17,,4.038000106811523,51.0,205.9379997253418,5
PANADERIA,417,2021-07-18,,4.038000106811523,54.0,218.05199813842773,5
PANADERIA,417,2021-07-19,,4.038000106811523,63.0,254.3940029144287,5
PANADERIA,417,2021-07-20,,4.038000106811523,84.0,339.19200134277344,5
PANADERIA,417,2021-07-21,,4.038000106811523,84.0,339.19200134277344,5
PANADERIA,417,2021-07-22,,4.038000106811523,63.0,254.39400482177734,5
PANADERIA,417,2021-07-23,,4.038000106811523,63.0,254.39400100708008,5
PANADERIA,417,2021-07-24,,4.038000106811523,63.0,254.39400482177734,5
PANADERIA,417,2021-07-25,,4.038000106811523,63.0,254.39400100708008,5
PANADERIA,417,2021-07-26,,4.038000106811523,84.0,339.19200134277344,5
PANADERIA,417,2021-07-27,,4.038000106811523,87.0,351.3060054779053,5
PANADERIA,417,2021-07-28,,4.038000106811523,69.0,278.6220054626465,5
PANADERIA,417,2021-07-29,,4.038000106811523,51.0,205.9379997253418,5
PANADERIA,417,2021-07-30,,4.038000106811523,66.0,266.50799560546875,5
PANADERIA,417,2021-07-31,,4.038000106811523,60.0,242.28000259399414,5
PANADERIA,417,2021-08-01,,4.038000106811523,93.0,375.53400230407715,5
PANADERIA,417,2021-08-02,,4.038000106811523,72.0,290.73600006103516,5
PANADERIA,417,2021-08-03,,4.038000106811523,69.0,278.6220016479492,5
PANADERIA,417,2021-08-04,,4.038000106811523,66.0,266.5080051422119,5
PANADERIA,417,2021-08-05,,4.038000106811523,66.0,266.50800132751465,5
PANADERIA,417,2021-08-06,,4.038000106811523,66.0,266.507999420166,5
PANADERIA,417,2021-08-07,,4.038000106811523,57.0,230.16600227355957,5
PANADERIA,417,2021-08-08,,4.038000106811523,57.0,230.16600036621094,5
PANADERIA,417,2021-08-09,,4.038000106811523,87.0,351.30599784851074,5
PANADERIA,417,2021-08-10,,4.038000106811523,60.0,242.28000259399414,5
PANADERIA,417,2021-08-11,,4.038000106811523,75.0,302.85000228881836,5
PANADERIA,417,2021-08-12,,4.038000106811523,45.0,181.71000289916992,5
PANADERIA,417,2021-08-13,,4.038000106811523,63.0,254.39399909973145,5
PANADERIA,417,2021-08-14,,4.038000106811523,69.0,278.6220016479492,5
PANADERIA,417,2021-08-15,,4.038000106811523,48.0,193.82399940490723,5
PANADERIA,417,2021-08-16,,4.038000106811523,51.0,205.9380054473877,5
PANADERIA,417,2021-08-17,,4.038000106811523,54.0,218.05199813842773,5
PANADERIA,417,2021-08-18,,4.038000106811523,78.0,314.96399879455566,5
PANADERIA,417,2021-08-19,Día de la Victoria,4.038000106811523,60.0,242.27999877929688,5
PANADERIA,417,2021-08-20,,4.038000106811523,69.0,278.6220016479492,5
PANADERIA,417,2021-08-21,,4.038000106811523,60.0,242.27999877929688,5
PANADERIA,417,2021-08-22,,4.038000106811523,57.0,230.16599655151367,5
PANADERIA,417,2021-08-23,,4.038000106811523,69.0,278.6220016479492,5
PANADERIA,417,2021-08-24,,4.038000106811523,66.0,266.50800132751465,5
PANADERIA,417,2021-08-25,,4.038000106811523,57.0,230.16600036621094,5
PANADERIA,417,2021-08-26,,4.038000106811523,72.0,290.7359981536865,5
PANADERIA,417,2021-08-27,,4.038000106811523,75.0,302.85000228881836,5
PANADERIA,417,2021-08-28,,4.038000106811523,57.0,230.16600227355957,5
PANADERIA,417,2021-08-29,,4.038000106811523,60.0,242.2800006866455,5
PANADERIA,417,2021-08-30,,4.038000106811523,81.0,327.07800102233887,5
PANADERIA,417,2021-08-31,,4.038000106811523,81.0,327.07799911499023,5
PANADERIA,417,2021-09-01,,4.038000106811523,69.0,278.62200355529785,5
PANADERIA,417,2021-09-02,,4.038000106811523,84.0,339.1920051574707,5
PANADERIA,417,2021-09-03,,4.038000106811523,39.0,157.48200225830078,5
PANADERIA,417,2021-09-04,,4.038000106811523,69.0,278.6220016479492,5
PANADERIA,417,2021-09-05,,4.038000106811523,69.0,278.6219997406006,5
PANADERIA,417,2021-09-06,,4.327000141143799,63.0,272.60100078582764,5
